
               RESULTATS HYDRODYNAMIQUE ANALYTIQUE

   i         R/pc     u/km.s-1     rho/amu.cm-3      p/dyn.cm-2   R/Rc
   554       0.313399      1870.     4.86767E+00     3.74554E-06     9.70726E-01
   553       0.313435      1870.     4.86229E+00     3.74809E-06     9.70837E-01
   552       0.313471      1870.     4.85688E+00     3.75064E-06     9.70948E-01
   551       0.313506      1869.     4.85145E+00     3.75318E-06     9.71059E-01
   550       0.313542      1869.     4.84598E+00     3.75572E-06     9.71170E-01
   549       0.313578      1869.     4.84048E+00     3.75826E-06     9.71281E-01
   548       0.313614      1869.     4.83495E+00     3.76079E-06     9.71392E-01
   547       0.313650      1868.     4.82938E+00     3.76331E-06     9.71503E-01
   546       0.313686      1868.     4.82379E+00     3.76583E-06     9.71614E-01
   545       0.313721      1868.     4.81817E+00     3.76835E-06     9.71725E-01
   544       0.313757      1867.     4.81251E+00     3.77086E-06     9.71836E-01
   543       0.313793      1867.     4.80682E+00     3.77337E-06     9.71948E-01
   542       0.313829      1867.     4.80110E+00     3.77587E-06     9.72059E-01
   541       0.313865      1867.     4.79535E+00     3.77837E-06     9.72170E-01
   540       0.313901      1866.     4.78957E+00     3.78086E-06     9.72281E-01
   539       0.313937      1866.     4.78375E+00     3.78335E-06     9.72392E-01
   538       0.313972      1866.     4.77790E+00     3.78583E-06     9.72503E-01
   537       0.314008      1865.     4.77202E+00     3.78831E-06     9.72614E-01
   536       0.314044      1865.     4.76611E+00     3.79079E-06     9.72725E-01
   535       0.314080      1865.     4.76016E+00     3.79326E-06     9.72837E-01
   534       0.314116      1864.     4.75418E+00     3.79572E-06     9.72948E-01
   533       0.314152      1864.     4.74817E+00     3.79818E-06     9.73059E-01
   532       0.314188      1864.     4.74212E+00     3.80064E-06     9.73170E-01
   531       0.314224      1864.     4.73604E+00     3.80309E-06     9.73281E-01
   530       0.314260      1863.     4.72993E+00     3.80554E-06     9.73393E-01
   529       0.314296      1863.     4.72378E+00     3.80798E-06     9.73504E-01
   528       0.314331      1863.     4.71760E+00     3.81042E-06     9.73615E-01
   527       0.314367      1862.     4.71139E+00     3.81285E-06     9.73726E-01
   526       0.314403      1862.     4.70514E+00     3.81528E-06     9.73838E-01
   525       0.314439      1862.     4.69886E+00     3.81770E-06     9.73949E-01
   524       0.314475      1862.     4.69254E+00     3.82012E-06     9.74060E-01
   523       0.314511      1861.     4.68619E+00     3.82254E-06     9.74172E-01
   522       0.314547      1861.     4.67980E+00     3.82495E-06     9.74283E-01
   521       0.314583      1861.     4.67338E+00     3.82735E-06     9.74394E-01
   520       0.314619      1860.     4.66692E+00     3.82975E-06     9.74506E-01
   519       0.314655      1860.     4.66043E+00     3.83214E-06     9.74617E-01
   518       0.314691      1860.     4.65390E+00     3.83454E-06     9.74729E-01
   517       0.314727      1860.     4.64734E+00     3.83692E-06     9.74840E-01
   516       0.314763      1859.     4.64074E+00     3.83930E-06     9.74951E-01
   515       0.314799      1859.     4.63410E+00     3.84168E-06     9.75063E-01
